Taxon	TaxID	Fragments	PropTotal	PropNonHost
Acidovorax	12916	24	3.7447059220027685e-6	0.08921933085501858
Bosea	85413	23	3.5886765085859867e-6	0.08550185873605948
Caulobacter	75	22	3.4326470951692044e-6	0.08178438661710037
Klebsiella	570	22	3.4326470951692044e-6	0.08178438661710037
Pseudomonas	286	20	3.1205882683356407e-6	0.07434944237918216
Brevundimonas	41275	12	1.8723529610013843e-6	0.04460966542750929
Alcaligenes	507	10	1.5602941341678203e-6	0.03717472118959108
Cutibacterium	1912216	10	1.5602941341678203e-6	0.03717472118959108
Bradyrhizobium	374	9	1.4042647207510383e-6	0.03345724907063197
Sphingobium	165695	9	1.4042647207510383e-6	0.03345724907063197
Sphingomonas	13687	9	1.4042647207510383e-6	0.03345724907063197
Mesorhizobium	68287	8	1.2482353073342562e-6	0.02973977695167286
Sphingopyxis	165697	6	9.361764805006921e-7	0.022304832713754646
Deinococcus	1298	6	9.361764805006921e-7	0.022304832713754646
Aquabacterium	92793	5	7.801470670839102e-7	0.01858736059479554
Massilia	149698	5	7.801470670839102e-7	0.01858736059479554
Janibacter	53457	5	7.801470670839102e-7	0.01858736059479554
Amycolatopsis	1813	5	7.801470670839102e-7	0.01858736059479554
Methylobacterium	407	4	6.241176536671281e-7	0.01486988847583643
Schlegelella	215579	4	6.241176536671281e-7	0.01486988847583643
Diaphorobacter	238749	4	6.241176536671281e-7	0.01486988847583643
Burkholderia	32008	4	6.241176536671281e-7	0.01486988847583643
Acinetobacter	469	4	6.241176536671281e-7	0.01486988847583643
Micrococcus	1269	4	6.241176536671281e-7	0.01486988847583643
Streptomyces	1883	4	6.241176536671281e-7	0.01486988847583643
Paracoccus	265	3	4.6808824025034607e-7	0.011152416356877323
Bordetella	517	3	4.6808824025034607e-7	0.011152416356877323
Leucobacter	55968	3	4.6808824025034607e-7	0.011152416356877323
Dermacoccus	57495	3	4.6808824025034607e-7	0.011152416356877323
Ornithinimicrobium	125287	3	4.6808824025034607e-7	0.011152416356877323
Rhodoplanes	29407	2	3.1205882683356404e-7	0.007434944237918215
Erythrobacter	1041	2	3.1205882683356404e-7	0.007434944237918215
Comamonas	283	2	3.1205882683356404e-7	0.007434944237918215
Variovorax	34072	2	3.1205882683356404e-7	0.007434944237918215
Rhizobacter	212743	2	3.1205882683356404e-7	0.007434944237918215
Ralstonia	48736	2	3.1205882683356404e-7	0.007434944237918215
Limosilactobacillus	2742598	2	3.1205882683356404e-7	0.007434944237918215
Desulfosporosinus	79206	2	3.1205882683356404e-7	0.007434944237918215
