Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonadaceae	135621	244	7.428655979550493e-5	0.08698752228163993
Pseudonocardiaceae	2070	219	6.667523194760483e-5	0.07807486631016043
Streptomycetaceae	2062	166	5.053921691005663e-5	0.05918003565062389
Halomonadaceae	28256	155	4.7190232656980596e-5	0.05525846702317291
Phyllobacteriaceae	69277	124	3.7752186125584475e-5	0.04420677361853832
Comamonadaceae	80864	109	3.3185389416844414e-5	0.03885918003565062
Burkholderiaceae	119060	108	3.2880936302928415e-5	0.038502673796791446
Nocardiopsaceae	83676	97	2.953195204985237e-5	0.034581105169340466
Xanthomonadaceae	32033	94	2.861859270810436e-5	0.03351158645276292
Rhodobacteraceae	31989	90	2.7400780252440344e-5	0.03208556149732621
Bradyrhizobiaceae	41294	86	2.6182967796776327e-5	0.030659536541889482
Rhizobiaceae	82115	81	2.4660702227196308e-5	0.028877005347593583
Microbacteriaceae	85023	80	2.4356249113280306e-5	0.0285204991087344
Moraxellaceae	468	79	2.4051795999364303e-5	0.028163992869875223
Sphingomonadaceae	41297	55	1.674492126538021e-5	0.0196078431372549
Micrococcaceae	1268	55	1.674492126538021e-5	0.0196078431372549
Mycobacteriaceae	1762	46	1.4004843240136176e-5	0.01639928698752228
Nocardioidaceae	85015	44	1.3395937012304168e-5	0.01568627450980392
Hyphomicrobiaceae	45401	41	1.2482577670556157e-5	0.01461675579322638
Micromonosporaceae	28056	38	1.1569218328808145e-5	0.013547237076648842
Nocardiaceae	85025	37	1.1264765214892142e-5	0.013190730837789662
Alcaligenaceae	506	32	9.742499645312123e-6	0.01140819964349376
Methylobacteriaceae	119045	31	9.438046531396119e-6	0.01105169340463458
Azospirillaceae	2829815	26	7.9157809618161e-6	0.009269162210338681
Roseobacteraceae	2854170	25	7.6113278479000955e-6	0.008912655971479501
Caulobacteraceae	76892	25	7.6113278479000955e-6	0.008912655971479501
Xanthobacteraceae	335928	24	7.306874733984091e-6	0.008556149732620321
Acidiferrobacteraceae	1692041	24	7.306874733984091e-6	0.008556149732620321
Devosiaceae	2831106	23	7.002421620068088e-6	0.00819964349376114
Dietziaceae	85029	23	7.002421620068088e-6	0.00819964349376114
Boseaceae	2831100	21	6.3935153922360806e-6	0.0074866310160427805
Egicoccaceae	1755824	21	6.3935153922360806e-6	0.0074866310160427805
Propionibacteriaceae	31957	20	6.089062278320076e-6	0.0071301247771836
