Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	10202	0.000599631064086525	0.9963863658560407
Delftia acidovorans	80866	15	8.816375182609171e-7	0.001464986815118664
Ralstonia insidiosa	190721	11	6.465341800580059e-7	0.0010743236644203534
Agrobacterium tumefaciens	358	3	1.763275036521834e-7	0.0002929973630237328
Variovorax sp. PAMC26660	2762322	2	1.1755166910145562e-7	0.0001953315753491552
Hyphomicrobium nitrativorans	1427356	2	1.1755166910145562e-7	0.0001953315753491552
Sphingomonas sp. Cra20	1327635	2	1.1755166910145562e-7	0.0001953315753491552
Dysosmobacter welbionis	2093857	2	1.1755166910145562e-7	0.0001953315753491552
