Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	807	0.0001984527082523866	0.9471830985915493
Ralstonia insidiosa	190721	23	5.656025142261328e-6	0.02699530516431925
Halomonas sp. NyZ770	2883106	5	1.2295706831002886e-6	0.005868544600938967
Lactococcus lactis	1358	5	1.2295706831002886e-6	0.005868544600938967
Mycolicibacterium sp. YH-1	2908837	4	9.83656546480231e-7	0.004694835680751174
Cutibacterium acnes	1747	4	9.83656546480231e-7	0.004694835680751174
Variovorax paradoxus	34073	2	4.918282732401155e-7	0.002347417840375587
Parageobacillus thermoglucosidasius	1426	2	4.918282732401155e-7	0.002347417840375587
