Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonadaceae	135621	7	4.398894520102288e-7	0.25
Xanthomonadaceae	32033	6	3.7704810172305326e-7	0.21428571428571427
Pseudonocardiaceae	2070	4	2.513654011487022e-7	0.14285714285714285
Microbacteriaceae	85023	3	1.8852405086152663e-7	0.10714285714285714
Rhodanobacteraceae	1775411	2	1.256827005743511e-7	0.07142857142857142
Propionibacteriaceae	31957	2	1.256827005743511e-7	0.07142857142857142
Streptomycetaceae	2062	2	1.256827005743511e-7	0.07142857142857142
Streptococcaceae	1300	2	1.256827005743511e-7	0.07142857142857142
