Taxon	TaxID	Fragments	PropTotal	PropNonHost
Comamonadaceae	80864	396	3.479224723300597e-5	0.13963328631875882
Xanthomonadaceae	32033	231	2.029547755258681e-5	0.08145275035260931
Pseudomonadaceae	135621	208	1.8274715718346566e-5	0.07334273624823695
Sphingomonadaceae	41297	192	1.686896835539683e-5	0.06770098730606489
Pseudonocardiaceae	2070	138	1.2124571005441472e-5	0.04866008462623413
Moraxellaceae	468	130	1.1421697323966605e-5	0.045839210155148094
Streptomycetaceae	2062	87	7.64375128603919e-6	0.03067700987306065
Microbacteriaceae	85023	79	6.940877604564321e-6	0.02785613540197461
Coronaviridae	11118	71	6.238003923089453e-6	0.025035260930888575
Nocardiopsaceae	83676	70	6.150144712905095e-6	0.02468265162200282
Phyllobacteriaceae	69277	69	6.062285502720736e-6	0.024330042313117067
Burkholderiaceae	119060	66	5.798707872167661e-6	0.0232722143864598
Bradyrhizobiaceae	41294	63	5.5351302416145856e-6	0.02221438645980254
Mycobacteriaceae	1762	56	4.920115770324076e-6	0.019746121297602257
Rhizobiaceae	82115	54	4.744397349955359e-6	0.01904090267983075
Rhodobacteraceae	31989	52	4.5686789295866416e-6	0.018335684062059238
Halomonadaceae	28256	49	4.3051012990335665e-6	0.017277856135401976
Nocardioidaceae	85015	49	4.3051012990335665e-6	0.017277856135401976
Micrococcaceae	1268	47	4.1293828786648494e-6	0.016572637517630464
Enterobacteriaceae	543	37	3.2507907768212644e-6	0.01304654442877292
Nocardiaceae	85025	33	2.8993539360838303e-6	0.0116361071932299
Micromonosporaceae	28056	33	2.8993539360838303e-6	0.0116361071932299
Autographiviridae	2731643	33	2.8993539360838303e-6	0.0116361071932299
Oxalobacteraceae	75682	28	2.460057885162038e-6	0.009873060648801129
Hyphomicrobiaceae	45401	27	2.3721986749776793e-6	0.009520451339915375
Stappiaceae	2821832	21	1.8450434138715285e-6	0.007404795486600846
Caulobacteraceae	76892	21	1.8450434138715285e-6	0.007404795486600846
Xanthobacteraceae	335928	19	1.6693249935028114e-6	0.006699576868829337
Roseobacteraceae	2854170	19	1.6693249935028114e-6	0.006699576868829337
Ornithinimicrobiaceae	2805590	17	1.4936065731340944e-6	0.005994358251057828
Methylobacteriaceae	119045	16	1.405747362949736e-6	0.005641748942172073
Boseaceae	2831100	16	1.405747362949736e-6	0.005641748942172073
Erythrobacteraceae	335929	16	1.405747362949736e-6	0.005641748942172073
Azospirillaceae	2829815	15	1.3178881527653774e-6	0.005289139633286318
Alcaligenaceae	506	15	1.3178881527653774e-6	0.005289139633286318
Bacillaceae	186817	15	1.3178881527653774e-6	0.005289139633286318
Streptococcaceae	1300	14	1.230028942581019e-6	0.004936530324400564
Propionibacteriaceae	31957	13	1.1421697323966604e-6	0.004583921015514809
Reoviridae	10880	13	1.1421697323966604e-6	0.004583921015514809
Acetobacteraceae	433	11	9.664513120279434e-7	0.0038787023977433005
Rhodanobacteraceae	1775411	11	9.664513120279434e-7	0.0038787023977433005
Thermomonosporaceae	2012	10	8.78592101843585e-7	0.003526093088857546
Egicoccaceae	1755824	10	8.78592101843585e-7	0.003526093088857546
Methylocystaceae	31993	9	7.907328916592265e-7	0.003173483779971791
Devosiaceae	2831106	9	7.907328916592265e-7	0.003173483779971791
Acidiferrobacteraceae	1692041	9	7.907328916592265e-7	0.003173483779971791
Rhodocyclaceae	75787	9	7.907328916592265e-7	0.003173483779971791
Dietziaceae	85029	9	7.907328916592265e-7	0.003173483779971791
Paenibacillaceae	186822	9	7.907328916592265e-7	0.003173483779971791
Staphylococcaceae	90964	9	7.907328916592265e-7	0.003173483779971791
Chelatococcaceae	2036754	8	7.02873681474868e-7	0.0028208744710860366
Intrasporangiaceae	85021	8	7.02873681474868e-7	0.0028208744710860366
Aurantimonadaceae	255475	7	6.150144712905094e-7	0.002468265162200282
Corynebacteriaceae	1653	7	6.150144712905094e-7	0.002468265162200282
Lactobacillaceae	33958	7	6.150144712905094e-7	0.002468265162200282
Thermaceae	188786	7	6.150144712905094e-7	0.002468265162200282
Phreatobacteraceae	2843305	6	5.271552611061509e-7	0.0021156558533145277
Rhodospirillaceae	41295	6	5.271552611061509e-7	0.0021156558533145277
Jiangellaceae	1217100	6	5.271552611061509e-7	0.0021156558533145277
Iamiaceae	633392	6	5.271552611061509e-7	0.0021156558533145277
Flavobacteriaceae	49546	6	5.271552611061509e-7	0.0021156558533145277
Cellulomonadaceae	85016	5	4.392960509217925e-7	0.001763046544428773
Promicromonosporaceae	85017	5	4.392960509217925e-7	0.001763046544428773
Planococcaceae	186818	5	4.392960509217925e-7	0.001763046544428773
Beijerinckiaceae	45404	4	3.51436840737434e-7	0.0014104372355430183
Sphingosinicellaceae	2820280	4	3.51436840737434e-7	0.0014104372355430183
Shewanellaceae	267890	4	3.51436840737434e-7	0.0014104372355430183
Gordoniaceae	85026	4	3.51436840737434e-7	0.0014104372355430183
Bifidobacteriaceae	31953	4	3.51436840737434e-7	0.0014104372355430183
