Taxon	TaxID	Fragments	PropTotal	PropNonHost
Glycomycetaceae	85034	4	3.51436840737434e-7	0.0014104372355430183
Yersiniaceae	1903411	3	2.6357763055307547e-7	0.0010578279266572638
Cellvibrionaceae	1706371	3	2.6357763055307547e-7	0.0010578279266572638
Chromobacteriaceae	1499392	3	2.6357763055307547e-7	0.0010578279266572638
Dermacoccaceae	145357	3	2.6357763055307547e-7	0.0010578279266572638
Streptosporangiaceae	2004	3	2.6357763055307547e-7	0.0010578279266572638
Miltoncostaeaceae	2843199	3	2.6357763055307547e-7	0.0010578279266572638
Deinococcaceae	183710	3	2.6357763055307547e-7	0.0010578279266572638
Nostocaceae	1162	3	2.6357763055307547e-7	0.0010578279266572638
Weeksellaceae	2762318	3	2.6357763055307547e-7	0.0010578279266572638
Sphingobacteriaceae	84566	3	2.6357763055307547e-7	0.0010578279266572638
Chitinophagaceae	563835	3	2.6357763055307547e-7	0.0010578279266572638
Isosphaeraceae	1763524	3	2.6357763055307547e-7	0.0010578279266572638
Maricaulaceae	2800061	2	1.75718420368717e-7	0.0007052186177715092
Alcanivoracaceae	224372	2	1.75718420368717e-7	0.0007052186177715092
Erwiniaceae	1903409	2	1.75718420368717e-7	0.0007052186177715092
Morganellaceae	1903414	2	1.75718420368717e-7	0.0007052186177715092
Chromatiaceae	1046	2	1.75718420368717e-7	0.0007052186177715092
Wenzhouxiangellaceae	1676141	2	1.75718420368717e-7	0.0007052186177715092
Microbulbiferaceae	1706373	2	1.75718420368717e-7	0.0007052186177715092
Colwelliaceae	267889	2	1.75718420368717e-7	0.0007052186177715092
Sutterellaceae	995019	2	1.75718420368717e-7	0.0007052186177715092
Zoogloeaceae	2008794	2	1.75718420368717e-7	0.0007052186177715092
Sterolibacteriaceae	2008793	2	1.75718420368717e-7	0.0007052186177715092
Anaeromyxobacteraceae	1524215	2	1.75718420368717e-7	0.0007052186177715092
Geobacteraceae	213422	2	1.75718420368717e-7	0.0007052186177715092
Catenulisporaceae	414877	2	1.75718420368717e-7	0.0007052186177715092
Nakamurellaceae	85031	2	1.75718420368717e-7	0.0007052186177715092
Euzebyaceae	908622	2	1.75718420368717e-7	0.0007052186177715092
Oscillospiraceae	216572	2	1.75718420368717e-7	0.0007052186177715092
Synechococcaceae	1890426	2	1.75718420368717e-7	0.0007052186177715092
Hymenobacteraceae	1853232	2	1.75718420368717e-7	0.0007052186177715092
Chlorobiaceae	191412	2	1.75718420368717e-7	0.0007052186177715092
Pirellulaceae	2691357	2	1.75718420368717e-7	0.0007052186177715092
Lacipirellulaceae	2691359	2	1.75718420368717e-7	0.0007052186177715092
Planctomycetaceae	126	2	1.75718420368717e-7	0.0007052186177715092
Halobacteriaceae	2236	2	1.75718420368717e-7	0.0007052186177715092
Haloarculaceae	1963268	2	1.75718420368717e-7	0.0007052186177715092
Haloferacaceae	1644056	2	1.75718420368717e-7	0.0007052186177715092
Adenoviridae	10508	2	1.75718420368717e-7	0.0007052186177715092
