Taxon	TaxID	Fragments	PropTotal	PropNonHost
Comamonadaceae	80864	554	2.09103798106282e-5	0.10506353119666224
Pseudomonadaceae	135621	419	1.5814890145583425e-5	0.07946140716859473
Pseudonocardiaceae	2070	333	1.2568874507110453e-5	0.06315190593589987
Sphingomonadaceae	41297	324	1.2229175196107468e-5	0.06144509766736203
Enterobacteriaceae	543	276	1.0417445537424881e-5	0.05234212023516025
Moraxellaceae	468	226	8.530227142963851e-6	0.042859852076616724
Streptomycetaceae	2062	207	7.81308415306866e-6	0.03925659017637019
Xanthomonadaceae	32033	167	6.303309437499837e-6	0.03167077564953537
Phyllobacteriaceae	69277	160	6.039098862275293e-6	0.030343258107339274
Nocardiopsaceae	83676	132	4.982256561377117e-6	0.025033187938554902
Bradyrhizobiaceae	41294	123	4.642557250374132e-6	0.023326379670017067
Rhodobacteraceae	31989	123	4.642557250374132e-6	0.023326379670017067
Rhizobiaceae	82115	120	4.52932414670647e-6	0.022757443580504456
Microbacteriaceae	85023	117	4.416091043038808e-6	0.022188507490991844
Halomonadaceae	28256	114	4.302857939371146e-6	0.021619571401479232
Coronaviridae	11118	114	4.302857939371146e-6	0.021619571401479232
Burkholderiaceae	119060	113	4.2651135714819256e-6	0.021429926038308362
Mycobacteriaceae	1762	91	3.434737477919073e-6	0.017257728048549213
Micrococcaceae	1268	88	3.321504374251411e-6	0.0166887919590366
Nocardioidaceae	85015	78	2.9440606953592052e-6	0.014792338327327896
Caulobacteraceae	76892	58	2.189173337574794e-6	0.010999431063910487
Nocardiaceae	85025	47	1.7739852907933674e-6	0.008913332069030912
Oxalobacteraceae	75682	46	1.7362409229041467e-6	0.008723686705860042
Methylobacteriaceae	119045	44	1.6607521871257055e-6	0.0083443959795183
Alcaligenaceae	506	44	1.6607521871257055e-6	0.0083443959795183
Boseaceae	2831100	43	1.623007819236485e-6	0.00815475061634743
Xanthobacteraceae	335928	42	1.5852634513472644e-6	0.00796510525317656
Erythrobacteraceae	335929	41	1.547519083458044e-6	0.007775459890005689
Roseobacteraceae	2854170	41	1.547519083458044e-6	0.007775459890005689
Micromonosporaceae	28056	36	1.358797244011941e-6	0.006827233074151337
Cellulomonadaceae	85016	35	1.3210528761227203e-6	0.006637587710980467
Hyphomicrobiaceae	45401	33	1.2455641403442792e-6	0.006258296984638726
Devosiaceae	2831106	32	1.2078197724550585e-6	0.006068651621467855
Bacillaceae	186817	30	1.1323310366766174e-6	0.005689360895126114
Stappiaceae	2821832	28	1.0568423008981763e-6	0.005310070168784373
Aurantimonadaceae	255475	25	9.436091972305146e-7	0.004741134079271762
Propionibacteriaceae	31957	25	9.436091972305146e-7	0.004741134079271762
Egicoccaceae	1755824	25	9.436091972305146e-7	0.004741134079271762
Ornithinimicrobiaceae	2805590	23	8.681204614520733e-7	0.004361843352930021
Acetobacteraceae	433	21	7.926317256736322e-7	0.00398255262658828
Brucellaceae	118882	19	7.171429898951911e-7	0.003603261900246539
Iamiaceae	633392	19	7.171429898951911e-7	0.003603261900246539
Rhodanobacteraceae	1775411	18	6.793986220059705e-7	0.0034136165370756686
Rhodocyclaceae	75787	16	6.039098862275293e-7	0.0030343258107339275
Rhodospirillaceae	41295	15	5.661655183383087e-7	0.002844680447563057
Azospirillaceae	2829815	15	5.661655183383087e-7	0.002844680447563057
Ectothiorhodospiraceae	72276	15	5.661655183383087e-7	0.002844680447563057
Gordoniaceae	85026	15	5.661655183383087e-7	0.002844680447563057
Reoviridae	10880	15	5.661655183383087e-7	0.002844680447563057
Zoogloeaceae	2008794	14	5.284211504490881e-7	0.0026550350843921864
Promicromonosporaceae	85017	14	5.284211504490881e-7	0.0026550350843921864
Chromobacteriaceae	1499392	13	4.906767825598676e-7	0.0024653897212213163
Corynebacteriaceae	1653	13	4.906767825598676e-7	0.0024653897212213163
Thermomonosporaceae	2012	13	4.906767825598676e-7	0.0024653897212213163
Dietziaceae	85029	11	4.151880467814264e-7	0.002086098994879575
Enterococcaceae	81852	11	4.151880467814264e-7	0.002086098994879575
Parvibaculaceae	2813035	10	3.774436788922058e-7	0.0018964536317087046
Acidiferrobacteraceae	1692041	10	3.774436788922058e-7	0.0018964536317087046
Intrasporangiaceae	85021	10	3.774436788922058e-7	0.0018964536317087046
Jiangellaceae	1217100	10	3.774436788922058e-7	0.0018964536317087046
Brevibacteriaceae	85019	9	3.3969931100298525e-7	0.0017068082685378343
Planococcaceae	186818	9	3.3969931100298525e-7	0.0017068082685378343
Nostocaceae	1162	9	3.3969931100298525e-7	0.0017068082685378343
Chelatococcaceae	2036754	8	3.0195494311376464e-7	0.0015171629053669638
Sterolibacteriaceae	2008793	8	3.0195494311376464e-7	0.0015171629053669638
Neisseriaceae	481	8	3.0195494311376464e-7	0.0015171629053669638
Streptosporangiaceae	2004	8	3.0195494311376464e-7	0.0015171629053669638
Miltoncostaeaceae	2843199	8	3.0195494311376464e-7	0.0015171629053669638
Thermaceae	188786	8	3.0195494311376464e-7	0.0015171629053669638
Autographiviridae	2731643	8	3.0195494311376464e-7	0.0015171629053669638
Aeromonadaceae	84642	7	2.6421057522454407e-7	0.0013275175421960932
Dermabacteraceae	85020	7	2.6421057522454407e-7	0.0013275175421960932
Paenibacillaceae	186822	7	2.6421057522454407e-7	0.0013275175421960932
Haloarculaceae	1963268	7	2.6421057522454407e-7	0.0013275175421960932
Blastochloridaceae	2831090	6	2.264662073353235e-7	0.0011378721790252229
Marinobacteraceae	2887365	6	2.264662073353235e-7	0.0011378721790252229
Chromatiaceae	1046	6	2.264662073353235e-7	0.0011378721790252229
Cellvibrionaceae	1706371	6	2.264662073353235e-7	0.0011378721790252229
Desulfovibrionaceae	194924	6	2.264662073353235e-7	0.0011378721790252229
Deinococcaceae	183710	6	2.264662073353235e-7	0.0011378721790252229
Sphingobacteriaceae	84566	6	2.264662073353235e-7	0.0011378721790252229
Maricaulaceae	2800061	5	1.887218394461029e-7	0.0009482268158543523
Shewanellaceae	267890	5	1.887218394461029e-7	0.0009482268158543523
Methylococcaceae	403	5	1.887218394461029e-7	0.0009482268158543523
Anaeromyxobacteraceae	1524215	5	1.887218394461029e-7	0.0009482268158543523
Lactobacillaceae	33958	5	1.887218394461029e-7	0.0009482268158543523
Synechococcaceae	1890426	5	1.887218394461029e-7	0.0009482268158543523
Hymenobacteraceae	1853232	5	1.887218394461029e-7	0.0009482268158543523
Halorubraceae	1963271	5	1.887218394461029e-7	0.0009482268158543523
Natrialbaceae	1644061	5	1.887218394461029e-7	0.0009482268158543523
Methylocystaceae	31993	4	1.5097747155688232e-7	0.0007585814526834819
Phreatobacteraceae	2843305	4	1.5097747155688232e-7	0.0007585814526834819
Elioraeaceae	2690195	4	1.5097747155688232e-7	0.0007585814526834819
Erwiniaceae	1903409	4	1.5097747155688232e-7	0.0007585814526834819
Microbulbiferaceae	1706373	4	1.5097747155688232e-7	0.0007585814526834819
Usitatibacteraceae	2803844	4	1.5097747155688232e-7	0.0007585814526834819
Sandaracinaceae	1055686	4	1.5097747155688232e-7	0.0007585814526834819
Actinomycetaceae	2049	4	1.5097747155688232e-7	0.0007585814526834819
