Taxon	TaxID	Fragments	PropTotal	PropNonHost
Proteobacteria	1224	1664	0.0005823950787615845	0.6269781461944235
Actinobacteria	201174	886	0.00031009737967714173	0.333835719668425
Firmicutes	1239	43	1.5049872828574598e-5	0.016201959306706856
Euryarchaeota	28890	19	6.649943807974823e-6	0.007159005275056519
Bacteroidetes	976	14	4.899958595349869e-6	0.0052750565184626974
Planctomycetes	203682	12	4.199964510299888e-6	0.00452147701582517
Cyanobacteria	1117	7	2.4499792976749345e-6	0.0026375282592313487
Acidobacteria	57723	7	2.4499792976749345e-6	0.0026375282592313487
Uroviricota	2731618	2	6.999940850499813e-7	0.0007535795026375283
